"DateTime","Ethereum","Tron","Solana","BNB Chain","Arbitrum","Base","Polygon PoS","Plasma","Avalanche C-Chain","Aptos","Other (13)"
"2021-03-31 00:00:00",39917660442.380005,17673976572.600002,317623422.35999995,4751999995.37,0,0,47762339.35,0,529987.01,0,57142740.45
"2021-04-30 00:00:00",46758789525.43001,23303676703.41,762870124.8,9121997917.66,0,0,431773822.54,0,531733.27,0,66931062.95
"2021-05-31 00:00:00",59688274329.56999,29498860859.350002,685825683.5199999,9222114965.32,0,0,1838067209.33,0,601340.52,0,71849160.29
"2021-06-30 00:00:00",65478038531.210014,29612931230.250008,684936933.64,9422685664.23,1121.21,0,2142464331.8500001,0,597155.38,0,73661565.60000001
"2021-07-31 00:00:00",68875399500.65001,29791036141.919994,721242957.0300001,9422714276.17,11922.970000000001,0,2356836694.69,0,590401.47,0,78268956.78000002
"2021-08-31 00:00:00",73925728334.20999,29782535412.79,1373920098.9,9622718251.94,749711.61,0,1588928147.98,0,506800233.9,0,87008218.87
"2021-09-30 00:00:00",75990307656.59,32786599221.25999,2967179319.7,9872922141.57,375619029.21000004,0,1372588863.4799998,0,1035610848.87,0,280544133.9
"2021-10-31 00:00:00",81802551194.94002,34357402377.940002,2998649811.66,10277620229.4,894467395.84,0,1294699625.78,0,1512978611.72,0,325674962.07000005
"2021-11-30 00:00:00",92762058693.64001,34733031402.64,4309193056.2300005,10781478392.840004,819826291.61,0,1414071424.6399996,0,3159150164.27,0,494773543.89
"2021-12-31 00:00:00",98768270518.89,37249566076.37,5090024725.0199995,10781924316.09,782744092.12,0,1838399287.3500001,0,3455636462.23,0,450389762.74
"2022-01-31 00:00:00",107574993978.35,34920509292.53,5665103359.290001,10791294936.499998,834996520.96,0,2094621712.4099996,0,3742397521.1899996,0,442212606.4499999
"2022-02-28 00:00:00",112899938028.63,36381279591.75,6000680096.740001,10791205983.099997,977646108.88,0,1810108853.8399997,0,4752420322.03,0,449965112.2
"2022-03-31 00:00:00",108049908383.14,39092642615.97,5516868310.7699995,10789076418.98,1254825985.45,0,2344107465.4399996,0,4769183711.219999,0,519287080.86
"2022-04-30 00:00:00",105015676170.64003,39883181766.75,5586120979.2,10997987068.41,1266500939.43,0,2291360940.52,0,4523646611.9800005,0,555819142.93
